player,uid,level,rank,rank_div,rank_score,kills,damage,headshots,games_played,wins,kdr,damage_per_game
118IQxD,2796616854,3.0,Unranked,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Woop Dee Doop,2796626131,41.0,Unranked,0,0.0,37.0,14316.0,0.0,0.0,0.0,0.0,0.0
ShioYun,2796632233,126.0,Rookie,4,11.0,876.0,128992.0,0.0,265.0,0.0,3.3056603773584907,486.7622641509434
dr_erzer96,2796566490,21.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Howe,2796638903,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ovopat22,2796546147,47.0,Rookie,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown,2796558180,466.0,Gold,4,6246.0,1074.0,124427.0,0.0,0.0,0.0,0.0,0.0
chrsvjkg24,1008248064969,8.0,Unranked,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
x_NaNuK_x,2796579791,8.0,Unranked,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
cjacks4,2796634645,161.0,Bronze,2,2176.0,1.0,502.0,0.0,0.0,0.0,0.0,0.0
SHMJackson,2796568884,37.0,Rookie,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paolosannino10,2796621495,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS-Hendrickw,2796660350,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gandalfsgimp,2796599471,4.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
iLostADonut,2796640568,18.0,Unranked,0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
TruePinkDemon,2796595554,4.0,Rookie,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dovacraft,2796562863,9.0,Unranked,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Indio Da Yakuza,2796523249,44.0,Unranked,0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
mjames2626,2796603547,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chippy241291,2796615440,97.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
